"student","social","gender","take_exam","Fi","CBi","Vi","MApi","PApi","total_time","total_activity","qp_time","wa_time","qp_activity","wa_activity","total_time_be","total_activity_be","pretest","posttest","exam_norm","lgain_pp","lgain_pe"
"user0003","individual","male","no",0.5,0.4,0.87,0.33,0,37,1,37,0,1,0,37,1,0.27,NA,-1,NA,NA
"user0004","individual","male","yes",0.42,0.4,0.47,0.44,0.67,837,35,549,288,11,24,161,13,0,0.73,0.9,0.73,0.9
"user0005","individual","male","yes",0.75,0.8,1,0.89,0.33,35,4,19,16,1,3,35,4,0.64,1,0.9,1,0.722222222222222
"user0006","individual","male","yes",0.58,0.05,0.8,0.67,0.56,0,0,0,0,0,0,0,0,0.09,NA,0.71,NA,0.681318681318681
"user0007","individual","male","yes",0.58,0.15,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0.09,1,0.81,1,0.791208791208791
"user0008","individual","male","yes",0.67,0.7,0.67,0.89,0.33,12859,830,7540,5319,106,724,4857,334,0.45,0.64,1,0.345454545454545,1
"user0009","individual","male","yes",0.58,0.65,0.8,0.78,0,3874,731,2646,1228,99,632,952,93,0.09,NA,0.88,NA,0.868131868131868
"user0010","individual","male","yes",0.83,0.85,0.67,0.83,0.89,1793,110,821,972,23,87,1793,110,0.18,NA,0.85,NA,0.817073170731707
"user0011","individual","male","yes",0.58,0.45,0.67,0.61,0.22,3201,263,1377,1824,27,236,3201,263,0.27,0.82,0.87,0.753424657534246,0.821917808219178
"user0012","individual","male","yes",0.42,0.3,0.4,0.67,0.67,0,0,0,0,0,0,0,0,0.18,0.36,0.33,0.219512195121951,0.182926829268293
"user0013","individual","male","no",0.33,0.55,0.53,0.67,0.5,0,0,0,0,0,0,0,0,0.09,NA,-1,NA,NA
"user0015","individual","male","yes",0.58,0.85,0.73,0.78,0.83,0,0,0,0,0,0,0,0,0.27,NA,0.85,NA,0.794520547945205
"user0016","individual","male","yes",1,0.9,0.93,0.89,0.61,0,0,0,0,0,0,0,0,0.18,NA,0.6,NA,0.512195121951219
"user0017","individual","female","yes",0.33,0.35,0.6,0.56,0.17,1710,137,1210,500,27,110,1710,137,0.09,0.73,0.91,0.703296703296703,0.901098901098901
"user0018","individual","male","yes",0.5,0.35,0.87,0.78,0.56,0,0,0,0,0,0,0,0,0.09,0.27,0.84,0.197802197802198,0.824175824175824
